0.26870E-05 0.15330E-07 0.00000E+01 4465030 0 0 7060 0.26310E+10 0.00000E+01 0.26870E-05 0.00000E+01 0.00000E+01 0
1 2.7672e-06 6.6464e-08 13.587 0.012594 2.7672e-06
2 2.7293e-06 4.3652e-08 12.795 0.024417 2.7293e-06
3 2.6973e-06 2.1e-08 8.8083 0.019991 2.6973e-06
4 2.7103e-06 4.5921e-08 6.7772 0.0019931 2.7103e-06
5 2.8181e-06 8.9344e-08 17.934 0.026654 2.8181e-06
6 2.6416e-06 1.674e-08 5.0699 0.0030682 2.6416e-06
7 2.746e-06 1.6332e-07 16.822 0.0121 2.746e-06
8 2.7829e-06 4.985e-08 7.1653 0.0024982 2.7829e-06
9 2.6688e-06 2.6636e-08 5.6458 0.0019904 2.6688e-06
<lo_statistics>
<cumulated_time> 3359.7319979999997 </cumulated_time>
</lo_statistics>
